CX;CY;XMIN;YMIN;RAIOMIN;AREACIRCMIN;DEDOS;XMAX;YMAX;RAIOMAX;AREACIRCMAX;HU0;HU1;HU2;HU3;HU4;HU5;HU6;Classe
95;112;104;113;85;8222.5;1;87;91;29;8222.5;0;1;2;3;6;-7;6;A
94;113;111;115;85;8361.5;0;86;92;29;8361.5;0;1;2;3;6;5;6;A
94;113;106;116;85;8265.5;0;86;92;29;8265.5;0;1;2;3;6;4;6;A
95;113;105;116;86;8303.5;0;87;93;30;8303.5;0;1;2;3;6;5;6;A
96;113;108;117;85;8242.0;0;88;94;30;8242.0;0;1;2;3;6;5;6;A
97;113;106;115;84;8165.5;0;90;95;30;8165.5;0;1;2;3;6;-5;6;A
98;115;107;117;86;8216.0;0;91;95;29;8216.0;0;1;2;3;6;5;6;A
99;113;108;116;83;8201.0;1;93;96;29;8201.0;0;1;2;3;6;4;6;A
100;113;109;115;83;8222.5;0;93;98;29;8222.5;0;1;2;3;6;5;6;A
102;117;113;118;84;8149.5;1;94;99;29;8149.5;0;1;2;3;8;-4;6;A
102;116;114;119;83;8269.5;0;95;99;29;8269.5;0;1;2;3;6;4;6;A
103;117;116;119;83;7988.5;0;96;101;29;7988.5;0;1;2;3;8;-4;6;A
104;116;115;119;83;8131.0;0;97;102;29;8131.0;0;1;2;3;7;5;6;A
105;118;113;120;84;7914.5;0;98;102;29;7914.5;0;1;2;3;8;-4;6;A
106;116;114;118;81;7973.0;1;99;103;29;7973.0;0;1;2;3;7;-5;6;A
107;116;117;119;82;8009.0;0;101;102;29;8009.0;0;1;2;3;7;5;6;A
109;117;116;118;81;7777.5;0;101;104;29;7777.5;0;1;2;3;-7;-4;6;A
110;119;124;120;82;7852.0;0;102;104;29;7852.0;0;1;2;3;-7;-4;6;A
110;117;117;119;81;7894.0;0;103;104;29;7894.0;0;1;2;3;7;6;6;A
110;118;121;122;81;7887.0;0;104;104;29;7887.0;0;1;2;3;6;5;6;A
111;117;119;120;81;7944.0;0;104;105;29;7944.0;0;1;2;3;7;6;6;A
112;119;123;121;82;7940.0;0;105;105;29;7940.0;0;1;2;3;7;-5;6;A
112;120;118;120;80;7797.0;0;105;106;29;7797.0;0;1;2;3;-8;-4;6;A
111;119;123;122;82;8056.5;0;105;106;29;8056.5;0;1;2;3;7;6;6;A
112;119;123;122;82;7830.0;0;105;106;29;7830.0;0;1;2;3;-7;-4;6;A
112;120;123;122;82;7994.5;0;105;106;29;7994.5;0;1;2;3;-7;-4;6;A
112;119;121;122;84;8153.0;1;104;105;29;8153.0;0;1;2;3;-7;-4;6;A
112;118;123;122;82;8138.5;0;105;103;30;8138.5;0;1;2;3;7;-4;6;A
111;118;120;122;83;8212.0;1;104;102;30;8212.0;0;1;2;3;6;-5;6;A
110;117;122;122;82;8162.5;0;104;101;31;8162.5;0;1;2;3;6;5;6;A
110;117;122;122;83;8252.0;0;102;101;31;8252.0;0;1;2;3;6;5;6;A
109;116;122;121;82;8306.0;0;102;99;31;8306.0;0;1;2;3;6;5;6;A
108;116;119;121;83;8332.0;0;102;98;31;8332.0;0;1;2;3;6;4;6;A
108;116;116;121;84;8548.0;0;103;99;33;8548.0;0;1;2;3;6;4;6;A
107;116;115;121;85;8588.5;0;103;98;33;8588.5;0;1;2;3;6;4;6;A
106;115;117;120;83;8627.0;0;103;97;34;8627.0;0;1;2;3;6;4;6;A
106;115;114;120;85;8641.5;1;102;97;34;8641.5;0;1;2;3;6;4;6;A
105;114;116;120;84;8608.0;0;101;96;34;8608.0;0;1;2;3;6;4;6;A
105;114;117;120;83;8566.5;0;103;95;34;8566.5;0;1;2;3;6;4;6;A
105;113;112;116;82;8382.0;1;102;96;34;8382.0;0;1;2;3;6;4;6;A
104;115;112;119;86;8708.0;0;101;97;34;8708.0;0;1;2;3;6;4;6;A
104;114;112;117;84;8545.0;0;101;96;34;8545.0;0;1;2;3;6;4;6;A
103;114;114;119;84;8760.5;1;98;96;34;8760.5;0;1;2;3;6;4;6;A
101;114;108;116;84;8705.0;0;98;94;34;8705.0;0;1;2;3;6;4;6;A
99;114;107;118;87;8897.0;1;96;93;34;8897.0;0;1;2;3;6;4;6;A
96;112;105;117;87;8812.0;0;94;92;34;8812.0;0;1;2;3;6;4;6;A
93;111;104;117;87;8968.0;0;91;90;35;8968.0;0;1;2;3;6;4;6;A
90;111;103;116;87;9128.0;0;88;88;35;9128.0;0;1;2;3;6;4;6;A
87;110;101;114;88;9400.0;0;83;87;35;9400.0;0;1;2;3;6;4;6;A
83;109;93;113;90;9610.0;0;83;82;35;9610.0;0;1;2;3;6;4;6;A
80;107;94;112;90;9757.5;0;77;82;36;9757.5;0;1;2;3;6;4;6;A
77;106;87;110;93;10072.5;0;74;80;36;10072.5;0;1;2;3;6;4;6;A
74;104;87;109;93;10204.0;0;72;76;36;10204.0;0;1;2;3;6;4;6;A
72;104;84;108;95;10478.5;0;69;76;36;10478.5;0;1;2;3;6;4;6;A
70;102;80;107;96;10688.5;0;67;74;37;10688.5;0;1;2;3;6;4;6;A
69;100;83;104;94;10640.0;0;66;72;37;10640.0;0;1;2;3;6;4;6;A
